LEAID,LEA_NAME,STATE_ABBR,LOCALE,TOTAL,FREE_REDUCED_LUNCH_ELIGIBLE,ENGLISH_LEARNERS,LEA_TYPE
0200007,Aleutians East Borough School District,AK,43,178,,,1
0200010,Aleutian Region School District,AK,43,21,,,1
0200020,Bering Strait School District,AK,43,1745,1680,,1
0200030,Bristol Bay Borough School District,AK,43,106,78,,1
0200050,Alaska Gateway School District,AK,43,381,323,,1
0200060,Cordova City School District,AK,43,361,281,,1
0200070,Copper River School District,AK,43,393,188,,1
0200090,Craig City School District,AK,43,615,166,,1
0200100,Delta/Greely School District,AK,43,971,170,,1
0200120,Dillingham City School District,AK,43,403,408,,1
0200130,Galena City School District,AK,23,8168,257,,1
0200150,Ketchikan Gateway Borough School District,AK,33,2043,694,,1
0200180,Anchorage School District,AK,11,42573,17827,,1
0200210,Juneau Borough School District,AK,33,4085,823,,1
0200240,Sitka School District,AK,33,1080,307,,1
0200270,Haines Borough School District,AK,43,255,130,,1
0200300,Hoonah City School District,AK,43,110,71,,1
0200330,Hydaburg City School District,AK,43,117,76,,1
0200360,Kake City School District,AK,43,117,106,,1
0200390,Kenai Peninsula Borough School District,AK,43,8510,2968,,1
0200450,Klawock City School District,AK,43,127,120,,1
0200480,Kodiak Island Borough School District,AK,33,2122,1125,,1
0200485,Lake and Peninsula Borough School District,AK,43,320,282,,1
0200510,Matanuska-Susitna Borough School District,AK,23,19495,6629,,1
0200520,Iditarod Area School District,AK,43,263,,,1
0200525,Annette Island School District,AK,43,301,269,,1
0200540,Nenana City School District,AK,43,2279,150,,1
0200570,Nome Public Schools,AK,43,672,636,,1
0200600,Fairbanks North Star Borough School District,AK,13,11857,3554,,1
0200610,North Slope Borough School District,AK,43,1853,750,,1
0200625,Northwest Arctic Borough School District,AK,43,1945,1798,,1
0200630,Pelican City School District,AK,43,12,,,1
0200660,Petersburg Borough School District,AK,43,464,266,,1
0200670,Pribilof School District,AK,43,65,,,1
0200680,Saint Mary's School District,AK,43,178,180,,1
0200690,Skagway School District,AK,43,138,,,1
0200700,Southeast Island School District,AK,43,164,112,,1
0200710,Southwest Region School District,AK,43,615,608,,1
0200720,Unalaska City School District,AK,43,337,44,,1
0200730,Chatham School District,AK,43,161,71,,1
0200760,Kuspuk School District,AK,43,309,263,,1
0200770,Denali Borough School District,AK,43,1073,,,1
0200775,Yukon Flats School District,AK,43,175,134,,1
0200780,Valdez City School District,AK,43,605,185,,1
0200800,Chugach School District,AK,11,617,,,1
0200810,Wrangell Public School District,AK,43,264,,,1
0200840,Yakutat School District,AK,43,95,,,1
0200862,Yukon-Koyukuk School District,AK,13,4024,310,,1
0400001,Cave Creek Unified District (4244),AZ,12,3821,,,1
0400003,Chino Valley Unified District (4474),AZ,31,2227,,,1
0400004,Clarkdale-Jerome Elementary District (4486),AZ,41,459,,,1
0400005,Salome Consolidated Elementary District (4514),AZ,43,119,,,1
0400016,Center for Academic Success Inc. (4191),AZ,33,1125,,,7
0400018,Pine Forest Education Association Inc. (4201),AZ,13,215,,,7
0400019,Flagstaff Arts And Leadership Academy (4202),AZ,13,174,,,7
0400020,Flagstaff Montessori (4205),AZ,13,191,,,7
0400021,Colorado City Unified District (4370),AZ,43,544,,,1
0400022,Vernon Elementary District (4162),AZ,43,138,,,1
0400023,Pinon Unified District (4390),AZ,43,1019,,,1
0400026,Heber-Overgaard Unified District (4392),AZ,33,490,,,1
0400028,Triumphant Learning Center (4225),AZ,33,101,,,7
0400031,Ridgeline Academy Inc. (4301),AZ,11,849,,,7
0400033,The Boys & Girls Clubs of the Valley (4305),AZ,11,227,,,7
0400034,Reid Traditional Schools' Valley Academy Inc. (4306),AZ,11,713,,,7
0400037,Twenty First Century Charter School Inc. Bennett  (4310),AZ,11,0,,,7
0400040,STEP UP Schools Inc. (4313),AZ,11,62,,,7
0400041,Maricopa County Community College District dba Gat (4314),AZ,11,350,,,7
0400043,New School For The Arts (4316),AZ,12,173,,,7
0400047,Salt River Pima-Maricopa  Community Schools (4320),AZ,41,76,,,7
0400052,Espiritu Community Development Corp. (4335),AZ,11,368,,,7
0400053,Heritage Academy Inc. (4336),AZ,11,902,,,7
0400054,Villa Montessori Charter School (4339),AZ,11,500,,,7
0400056,Arizona School For The Arts (4345),AZ,11,679,,,7
0400057,Arizona Center for Youth Resources (4346),AZ,11,72,,,7
0400061,Intelli-School Inc. (4352),AZ,11,70,,,7
0400065,Benjamin Franklin Charter School - Queen Creek (4355),AZ,41,3321,,,7
0400068,Montessori Day Public Schools Chartered Inc. (4359),AZ,11,177,,,7
0400069,Khalsa Montessori Elementary Schools (4360),AZ,11,118,,,7
0400070,Tempe Preparatory Academy (4361),AZ,12,431,,,7
0400071,Bright Beginnings School Inc. (4362),AZ,11,199,,,7
0400072,Montessori Education Centre Charter School (4363),AZ,11,441,,,7
0400074,Kingman Academy Of Learning (4383),AZ,32,1352,,,7
0400075,Young Scholars Academy Charter School Corp. (4385),AZ,23,412,,,7
0400077,Career Development Inc. (4400),AZ,41,59,,,7
0400078,Edge School Inc. The (4421),AZ,11,148,,,7
0400079,Tucson Youth Development/ACE Charter High School (4422),AZ,11,401,,,7
0400081,Presidio School (4425),AZ,11,345,,,7
0400082,Colorado River Union High School District (4381),AZ,23,1847,,,1
0400083,Portable Practical Educational Preparation Inc. ( (4431),AZ,32,740,,,7
0400089,Sedona Charter School Inc. (4492),AZ,32,144,,,7
0400090,Mingus Springs Charter School (4493),AZ,31,151,,,7
0400092,Franklin Phonetic Primary School Inc. (4495),AZ,13,362,,,7
0400093,Skyview School Inc. (4496),AZ,13,214,,,7
0400095,Yuma Private Industry Council Inc. (4509),AZ,12,101,,,7
0400096,Mountain School Inc. (4203),AZ,13,184,,,7
0400097,Northland Preparatory Academy (4204),AZ,13,637,,,7
0400098,Flagstaff Junior Academy (4207),AZ,13,364,,,7
0400099,Liberty High School (4216),AZ,33,76,,,7
0400100,Ball Charter Schools (Hearn) (4294),AZ,11,678,,,7
0400102,Friendly House Inc. (4303),AZ,11,245,,,7
0400103,Ombudsman Educational Services Ltd.a subsidiary  (4323),AZ,11,1736,,,7
0400106,Arizona Agribusiness & Equine Center Inc. (4331),AZ,11,269,,,7
0400107,International Commerce Secondary Schools Inc. (4334),AZ,11,202,,,7
0400108,Humanities and Sciences Academy of the United Stat (4337),AZ,12,341,,,7
0400111,Allen-Cochran Enterprises Inc. (4347),AZ,12,332,,,7
0400112,American Leadership Academy Inc. (4348),AZ,41,15291,,,7
0400115,Hermosa Montessori Charter School (4426),AZ,41,230,,,7
0400120,Arizona Department of Corrections (8336),AZ,11,37,,,5
0400121,Accelerated Learning Center Inc. (4297),AZ,11,133,,,7
0400122,Acclaim Charter School (4325),AZ,11,249,,,7
0400124,Genesis Program Inc. (4332),AZ,11,49,,,7
0400126,Montessori Schoolhouse of Tucson Inc. (4428),AZ,11,134,,,7
0400130,Edkey Inc. dba American Heritage Academy  (6365),AZ,32,347,,,7
0400131,The Charter Foundation Inc. (6355),AZ,12,556,,,7
0400134,BASIS Charter Schools Inc. (6361),AZ,11,785,,,7
0400135,Challenge School Inc. (6362),AZ,21,364,,,7
0400141,Discovery Plus Academy (6357),AZ,42,119,,,7
0400144,CPLC Community Schools (4300),AZ,11,48,,,7
0400147,Ha:san Educational Services (6369),AZ,11,55,,,7
0400149,Kaizen Education Foundation dba El Dorado High Sch (4342),AZ,21,720,,,7
0400150,Mexicayotl Academy Inc. (4463),AZ,33,209,,,7
0400151,New Horizon School for the Performing Arts (4366),AZ,11,119,,,7
0400153,Phoenix School of Academic Excellence The (6379),AZ,11,95,,,7
0400154,Shonto Governing Board of Education Inc. (6353),AZ,43,57,,,7
0400157,Edkey Inc. - Sequoia Choice Schools (4329),AZ,11,2313,,,7
0400159,Tucson Preparatory School (6374),AZ,11,80,,,7
0400163,Coconino County Accommodation School District (10386),AZ,13,151,,,1
0400165,Keystone Montessori Charter School Inc. (10878),AZ,11,203,,,7
0400181,Benchmark School Inc. (10972),AZ,11,328,,,7
0400182,Cambridge Academy  East  Inc (78888),AZ,11,242,,,7
0400184,Ball Charter Schools (Dobson) (79204),AZ,11,386,,,7
0400185,Pioneer Technology & Arts Academy of Arizona (4340),AZ,11,412,,,7
0400187,Stepping Stones Academy (10966),AZ,21,221,,,7
0400190,Liberty Traditional Charter School (10968),AZ,41,600,,,7
0400191,Fit Kids Inc. dba Champion Schools (78783),AZ,11,1322,,,7
0400197,Northern Arizona Vocational Institute of Technolog (78786),AZ,43,66,,,9
0400202,Academy of Tucson Inc. (78897),AZ,11,435,,,7
0400204,Mountain Rose Academy Inc. (10879),AZ,21,172,,,7
0400205,Great Expectations Academy (10974),AZ,32,176,,,7
0400208,Mountain Oak Charter School Inc. (78873),AZ,13,94,,,7
0400210,Painted Pony Ranch Charter School (10967),AZ,13,71,,,7
0400211,Mary Ellen Halvorson Educational Foundation. dba:  (10965),AZ,41,278,,,7
0400212,Benson Unified School District (79226),AZ,32,1287,,,1
0400213,Painted Desert Demonstration Projects Inc. (79086),AZ,42,94,,,7
0400217,Little Lamb Community School (79050),AZ,12,129,,,7
0400218,American Basic Schools LLC (79215),AZ,11,634,,,7
0400219,Career Success Schools (79047),AZ,11,1145,,,7
0400221,Kaizen Education Foundation dba South Pointe Eleme (79233),AZ,11,322,,,7
0400223,Daisy Education Corporation dba Sonoran Science Ac (79049),AZ,21,758,,,7
0400225,Horizon Community Learning Center Inc. (79264),AZ,11,678,,,7
0400227,Kaizen Education Foundation dba South Pointe Junio (78965),AZ,11,124,,,7
0400229,Milestones Charter School (79207),AZ,11,186,,,7
0400230,Pathfinder Charter School Foundation (79024),AZ,11,437,,,7
0400231,James Madison Preparatory School (79063),AZ,12,130,,,7
0400232,Self Development Charter School (79072),AZ,11,303,,,7
0400235,Excalibur Charter Schools Inc. (79214),AZ,21,313,,,7
0400238,Metropolitan Arts Institute Inc. (5181),AZ,11,249,,,7
0400239,P.L.C. Charter Schools (6235),AZ,11,895,,,7
0400241,Paragon Management Inc. (5180),AZ,41,2988,,,7
0400243,Skyline Schools Inc. (79084),AZ,11,167,,,7
0400244,Edkey Inc. dba Sequoia Charter School (6446),AZ,11,764,,,7
0400246,Edkey Inc. - Sequoia Village School (79211),AZ,41,297,,,7
0400248,Telesis Center for Learning Inc. (79218),AZ,13,321,,,7
0400254,Southern Arizona Community Academy Inc. (79000),AZ,11,89,,,7
0400255,Tucson Country Day School Inc. (79073),AZ,11,512,,,7
0400258,Carden of Tucson Inc. (78858),AZ,21,57,,,7
0400259,Southgate Academy Inc. (79085),AZ,11,367,,,7
0400261,Eastpointe High School Inc. (78833),AZ,11,605,,,7
0400263,Patagonia Montessori Elementary School (79069),AZ,42,33,,,7
0400264,Santa Cruz Valley Opportunities in Education Inc. (79066),AZ,42,81,,,7
0400266,PACE Preparatory Academy Inc. (79068),AZ,41,108,,,7
0400267,Kestrel Schools Inc. (79065),AZ,12,30,,,7
0400268,Juniper Tree Academy (79064),AZ,12,881,,,7
0400273,GAR LLC dba Student Choice High School (78997),AZ,12,2389,,,7
0400274,AIBT Non-Profit Charter High School - Phoenix (79053),AZ,11,96,,,7
0400275,Highland Free School (79061),AZ,11,31,,,7
0400276,Academy with Community Partners-Arizona Inc (79213),AZ,11,170,,,7
0400278,Deer Valley Charter Schools Inc. (79496),AZ,21,11,,,7
0400279,West Gilbert Charter Elementary School Inc. (79497),AZ,41,441,,,7
0400280,Mohave Accelerated Learning Center (79498),AZ,23,522,,,7
0400281,Masada Charter School Inc. (79499),AZ,43,522,,,7
0400282,Harvest Power Community Development Group Inc. (79501),AZ,12,1643,,,7
0400284,Omega Alpha Academy (79503),AZ,33,201,,,7
0400288,Premier Charter High School (79569),AZ,11,140,,,7
0400290,Pan-American Elementary Charter (79578),AZ,11,1221,,,7
0400295,Kingman Unified School District (79598),AZ,32,6996,,,1
0400303,North Star Charter School Inc. (79701),AZ,11,233,,,7
0400310,Calibre Academy (79055),AZ,21,538,,,7
0400311,ThrivePoint High School Inc. (79059),AZ,11,1489,,,7
0400315,Yavapai Accommodation School District (79379),AZ,41,71,,,1
0400316,Cobre Valley Institute of Technology District (79391),AZ,42,2,,,9
0400317,Khalsa Family Services (79420),AZ,21,238,,,7
0400318,Aprender Tucson (79426),AZ,11,227,,,7
0400320,Acorn Montessori Charter School (79437),AZ,13,560,,,7
0400321,Pinnacle Education-WMCB Inc. (79439),AZ,12,55,,,7
0400322,Desert Rose AcademyInc. (79441),AZ,11,150,,,7
0400323,Crown Charter School Inc (79443),AZ,21,294,,,7
0400326,Success School (79453),AZ,21,1049,,,7
0400329,American Virtual Academy (79461),AZ,11,6378,,,7
0400330,Compass High School Inc. (79467),AZ,11,449,,,7
0400332,James Sandoval Preparatory High School (79475),AZ,21,55,,,7
0400339,Destiny School Inc. (6258),AZ,33,376,,,7
0400340,Noah Webster Schools - Mesa (10760),AZ,11,525,,,7
0400341,Valley Academy for Career and Technology Education (79397),AZ,32,12,,,9
0400343,Griffin Foundation Inc. The (79500),AZ,11,93,,,7
0400345,Cochise Technology District (79403),AZ,13,8,,,9
0400347,Coconino Association for Vocation Industry and Tec (79381),AZ,43,0,,,9
0400348,Central Arizona Valley Institute of Technology (79385),AZ,41,85,,,9
0400349,Gila Institute for Technology (79387),AZ,33,24,,,9
0400352,American Charter Schools Foundation d.b.a. Estrell (79873),AZ,21,138,,,7
0400353,American Charter Schools Foundation d.b.a. Peoria  (79875),AZ,21,496,,,7
0400354,American Charter Schools Foundation d.b.a. Sun Val (79877),AZ,11,345,,,7
0400355,American Charter Schools Foundation d.b.a. West Ph (79879),AZ,11,403,,,7
0400356,Nosotros Inc (79881),AZ,11,320,,,7
0400357,American Charter Schools Foundation d.b.a. Apache  (79883),AZ,21,184,,,7
0400359,Challenger Basic School Inc. (79886),AZ,11,274,,,7
0400361,Arizona Community Development Corporation (79947),AZ,11,1988,,,7
0400363,SC Jensen Corporation Inc. dba Intelli-School (79951),AZ,11,58,,,7
0400364,PAS Charter Inc. dba Intelli-School (79953),AZ,11,97,,,7
0400366,Valley of the Sun Waldorf Education Association d (79957),AZ,11,286,,,7
0400367,Pima Prevention Partnership dba Pima Partnership S (79959),AZ,11,86,,,7
0400368,Academy of Mathematics and Science Inc. (79961),AZ,11,580,,,7
0400370,Midtown Primary School (79994),AZ,11,103,,,7
0400373,Tucson International Academy Inc. (79979),AZ,11,402,,,7
0400374,Bell Canyon Charter School Inc (79983),AZ,11,255,,,7
0400376,Cortez Park Charter Middle School Inc. (79988),AZ,11,252,,,7
0400377,West Gilbert Charter Middle School Inc. (79990),AZ,11,73,,,7
0400381,Carpe Diem Collegiate High School (80001),AZ,12,230,,,7
0400382,CPLC Community Schools dba Toltecalli High School (80032),AZ,11,126,,,7
0400384,American Charter Schools Foundation d.b.a. Desert  (79872),AZ,11,231,,,7
0400385,American Charter Schools Foundation d.b.a. Crestvi (79874),AZ,11,239,,,7
0400386,Kaizen Education Foundation dba Summit High School (79876),AZ,11,201,,,7
0400387,Kaizen Education Foundation dba Tempe Accelerated  (79878),AZ,11,84,,,7
0400388,Kaizen Education Foundation dba Skyview High Schoo (79880),AZ,31,148,,,7
0400389,Kaizen Education Foundation dba Maya High School (79882),AZ,11,401,,,7
0400390,Camelback Education Inc (79905),AZ,21,598,,,7
0400391,Vista Charter School (79907),AZ,11,10,,,7
0400394,Avondale Learning dba Precision Academy (79929),AZ,11,90,,,7
0400395,LEAD Charter Schools (79967),AZ,11,757,,,7
0400397,CAFA Inc. dba Learning Foundation Performing Arts (79971),AZ,11,139,,,7
0400399,Montessori Academy Inc. (80011),AZ,21,107,,,7
0400401,New World Educational Center (78882),AZ,11,209,,,7
0400402,Cholla Academy (5186),AZ,21,523,,,7
0400403,Akimel O Otham Pee Posh Charter School Inc. (5978),AZ,42,46,,,7
0400404,Akimel O'Otham Pee Posh Charter School Inc. (78966),AZ,42,10,,,7
0400405,Cornerstone Charter SchoolInc (79077),AZ,11,138,,,7
0400406,Happy Valley School Inc. (79081),AZ,21,586,,,7
0400407,CITY Center for Collaborative Learning (85448),AZ,11,292,,,7
0400409,Satori Inc. (85454),AZ,11,97,,,7
0400413,Mohave Accelerated Elementary School Inc. (85516),AZ,23,518,,,7
0400414,Academy of Building Industries Inc. (85540),AZ,23,108,,,7
0400415,Edkey Inc. (85749),AZ,11,79,,,7
0400417,Arizona Agribusiness & Equine Center Inc. (85816),AZ,11,426,,,7
0400419,Gila County Regional School District (87600),AZ,43,10,,,1
0400420,Pillar Charter School (87334),AZ,41,6,,,7
0400423,Legacy Education Group (87349),AZ,11,150,,,7
0400424,Rosefield Charter Elementary School Inc. (87399),AZ,21,521,,,7
0400425,East Mesa Charter Elementary School Inc. (87401),AZ,11,611,,,7
0400427,Arizona Connections Academy Charter School Inc. (87407),AZ,11,1891,,,7
0400429,Country Gardens Charter Schools (79074),AZ,21,268,,,7
0400432,Portable Practical Educational Preparation Inc. ( (87405),AZ,11,5431,,,7
0400438,Imagine Charter Elementary at Desert West Inc. (88367),AZ,11,714,,,7
0400439,Desert Star Community School Inc. (88321),AZ,42,144,,,7
0400440,Chandler Preparatory Academy (88299),AZ,11,716,,,7
0400441,Imagine Middle at Surprise Inc. (88372),AZ,21,248,,,7
0400442,Imagine Middle at East Mesa Inc. (88369),AZ,11,140,,,7
0400444,Prescott Valley Charter School (88317),AZ,13,433,,,7
0400445,Imagine Charter Elementary at Camelback Inc. (88365),AZ,11,324,,,7
0400447,American Charter Schools Foundation d.b.a. South R (88334),AZ,11,359,,,7
0400448,Desert Sky Community School Inc. (88308),AZ,11,38,,,7
0400450,Agua Fria Union High School District (4289),AZ,21,10089,,,1
0400455,Arizona State Hospital (6415),AZ,11,0,,,5
0400457,Cochise County Juvenile Detention (79462),AZ,13,0,,,8
0400458,Yuma County Juvenile Justice Center (79524),AZ,12,11,,,8
0400459,Maricopa County Sheriffs Office (79540),AZ,11,39,,,8
0400460,Yavapai County Juvenile Justice Center (79533),AZ,41,26,,,8
0400461,Mohave County Juvenile Detention (79589),AZ,41,10,,,8
0400463,Arizona State Schools for the Deaf and the Blind (6393),AZ,11,351,,,5
0400480,Aguila Elementary District (4249),AZ,43,141,,,1
0400520,Ajo Unified District (4409),AZ,43,397,,,1
0400600,Alhambra Elementary District (4280),AZ,11,9742,,,1
0400607,Eagle Elementary District (4232),AZ,43,,,,1
0400608,BASIS Charter Schools Inc. (81078),AZ,12,1023,,,7
0400610,Desert Heights Charter Schools (81099),AZ,21,868,,,7
0400612,Northeast Arizona Technological Institute of Vocat (81114),AZ,43,64,,,9
0400613,Educational Impact Inc. (81123),AZ,11,141,,,7
0400614,MCCCD on behalf of Phoenix College Preparatory Aca (81174),AZ,11,261,,,7
0400615,West-MEC - Western Maricopa Education Center (80923),AZ,21,174,,,9
0400616,New School for the Arts Middle School (80985),AZ,12,75,,,7
0400618,American Charter Schools Foundation d.b.a. South P (80989),AZ,11,615,,,7
